epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,8557.36,1.1911,1.13958,1.51906,0.80008,0.73525,0.76856,0.45469,1.51352,1.04133,1.98971,0.004555,0.004555,0.004555
57,8709.96,1.18484,1.1326,1.50853,0.82542,0.72245,0.77022,0.45571,1.51218,1.03133,1.98711,0.004456,0.004456,0.004456
58,8861.21,1.18666,1.13328,1.51152,0.83697,0.72208,0.76946,0.45881,1.51581,1.025,1.99261,0.004357,0.004357,0.004357
59,9014.44,1.17128,1.11305,1.49997,0.8378,0.7212,0.77266,0.45891,1.51253,1.01932,1.99041,0.004258,0.004258,0.004258
60,9164.74,1.17529,1.1223,1.49978,0.8341,0.72637,0.77205,0.45718,1.51716,1.02962,1.99365,0.004159,0.004159,0.004159
61,9315.56,1.17085,1.102,1.49603,0.81334,0.73544,0.76919,0.45558,1.52542,1.02646,2.00035,0.00406,0.00406,0.00406
62,9469.01,1.16407,1.09191,1.49142,0.81818,0.73103,0.77316,0.45742,1.52599,1.02475,1.99781,0.003961,0.003961,0.003961
63,9619.45,1.16015,1.09198,1.49173,0.83872,0.71954,0.77156,0.45721,1.52291,1.03245,1.99424,0.003862,0.003862,0.003862
64,9775.73,1.15641,1.07786,1.48773,0.81902,0.7303,0.77115,0.45779,1.5181,1.03132,1.99057,0.003763,0.003763,0.003763
65,9927.42,1.15132,1.07454,1.4827,0.82516,0.71958,0.76826,0.45738,1.5263,1.02839,2.00258,0.003664,0.003664,0.003664
66,10078.5,1.13331,1.05159,1.47051,0.82816,0.71273,0.76853,0.4573,1.52784,1.02276,2.00982,0.003565,0.003565,0.003565
67,10231.4,1.14089,1.05161,1.46885,0.8307,0.72198,0.77152,0.45627,1.52511,1.01686,2.00895,0.003466,0.003466,0.003466
68,10380.7,1.13202,1.03867,1.46417,0.85229,0.70524,0.76984,0.45762,1.52834,1.02497,2.01364,0.003367,0.003367,0.003367
69,10533.3,1.12656,1.02392,1.46329,0.82456,0.72387,0.76948,0.45802,1.52867,1.0245,2.01588,0.003268,0.003268,0.003268
70,10679.4,1.12844,1.0326,1.45915,0.81834,0.726,0.76711,0.4596,1.5299,1.02281,2.01839,0.003169,0.003169,0.003169
71,10829.9,1.12092,1.03088,1.45554,0.82455,0.72408,0.76567,0.45702,1.53042,1.02845,2.02011,0.00307,0.00307,0.00307
72,10979,1.11574,1.01557,1.45197,0.82731,0.72055,0.76532,0.45795,1.53028,1.03027,2.02327,0.002971,0.002971,0.002971
